Descrição;Código;DÉBITO;CRÉDITO;INDIVIDUALIZAR
Triênio;148;DCSAL;SALPGR;NÃO
Quinquênio;149;DCSAL;SALPGR;NÃO
Decênio;150;DCSAL;SALPGR;NÃO
Mensalidade Sindical;171;SALPGR;CSPGR;NÃO
Contribuição Sindical;172;SALPGR;CSPGR;NÃO
Contribuição Confederativa;173;SALPGR;CSPGR;NÃO
Taxa Assistencial;174;SALPGR;CSPGR;NÃO
Reversão Salarial;175;SALPGR;CSPGR;NÃO
Subvenção Patronal;176;DCSAL;SALPGR;NÃO
Subsídio Cônjuge;177;DCSAL;SALPGR;NÃO
Vale Transporte;201;SALPGR;DCSAL;NÃO
Vale Refeição vinculado ao PAT;202;SALPGR;DCSAL;NÃO
Vale alimentação vinculado ao PAT;203;SALPGR;DCSAL;NÃO
Vale Farmácia;204;SALPGR;DCSAL;NÃO
Vale Transporte Empresa;205;DCSAL;SALPGR;NÃO
Faltas não Justificadas Dias;216;SALPGR;DCSAL;NÃO
Faltas não Justificadas Horas;217;SALPGR;DCSAL;NÃO
Faltas não Justificadas Valor;218;SALPGR;DCSAL;NÃO
Faltas Justificadas Dias;261;DCSAL;SALPGR;NÃO
Faltas Justificadas Horas;262;DCSAL;SALPGR;NÃO
Faltas Justificadas Valor;263;DCSAL;SALPGR;NÃO
Comissões;311;DCSAL;SALPGR;NÃO
Adicional Noturno Rendimento Variável;340;DCSAL;SALPGR;NÃO
Salário Tarefeiro;349;DCSAL;SALPGR;NÃO
Seguro de Vida em Grupo;351;SALPGR;DCSAL;NÃO
Diárias;352;DCSAL;SALPGR;NÃO
Diárias;353;DCSAL;SALPGR;NÃO
Ajuda de Custos;354;DCSAL;SALPGR;NÃO
Universidade;355;SALPGR;DCSAL;NÃO
Horas Extras 50%;401;DCSAL;SALPGR;NÃO
Horas Extras 55%;402;DCSAL;SALPGR;NÃO
Horas Extras 60%;403;DCSAL;SALPGR;NÃO
Horas Extras 65%;404;DCSAL;SALPGR;NÃO
Horas Extras 70%;405;DCSAL;SALPGR;NÃO
Horas Extras 75%;406;DCSAL;SALPGR;NÃO
Horas Extras 80%;407;DCSAL;SALPGR;NÃO
Horas Extras 85%;408;DCSAL;SALPGR;NÃO
Horas Extras 90%;409;DCSAL;SALPGR;NÃO
Horas Extras 95%;410;DCSAL;SALPGR;NÃO
Horas Extras 100%;411;DCSAL;SALPGR;NÃO
Horas Extras 105%;412;DCSAL;SALPGR;NÃO
Horas Extras 110%;413;DCSAL;SALPGR;NÃO
Horas Extras 115%;414;DCSAL;SALPGR;NÃO
Horas Extras 120%;415;DCSAL;SALPGR;NÃO
Horas Extras 125%;416;DCSAL;SALPGR;NÃO
Horas Extras 130%;417;DCSAL;SALPGR;NÃO
Horas Extras 135%;418;DCSAL;SALPGR;NÃO
Horas Extras 140%;419;DCSAL;SALPGR;NÃO
Horas Extras 145%;420;DCSAL;SALPGR;NÃO
Horas Extras 150%;421;DCSAL;SALPGR;NÃO
Horas Extras 175%;426;DCSAL;SALPGR;NÃO
Horas Extras 180%;427;DCSAL;SALPGR;NÃO
Horas Extras 200%;431;DCSAL;SALPGR;NÃO
Horas Extras (Outras);432;DCSAL;SALPGR;NÃO
Horas Extras 50% Noturna;451;DCSAL;SALPGR;NÃO
Horas Extras 55% Noturna;452;DCSAL;SALPGR;NÃO
Horas Extras 60% Noturna;453;DCSAL;SALPGR;NÃO
Horas Extras 65% Noturna;454;DCSAL;SALPGR;NÃO
Horas Extras 70% Noturna;455;DCSAL;SALPGR;NÃO
Horas Extras 75% Noturna;456;DCSAL;SALPGR;NÃO
Horas Extras 80% Noturna;457;DCSAL;SALPGR;NÃO
Horas Extras 85% Noturna;458;DCSAL;SALPGR;NÃO
Horas Extras 90% Noturna;459;DCSAL;SALPGR;NÃO
Horas Extras 95% Noturna;460;DCSAL;SALPGR;NÃO
Horas Extras 100% Noturna;461;DCSAL;SALPGR;NÃO
Horas Extras 105% Noturna;462;DCSAL;SALPGR;NÃO
Horas Extras 110% Noturna;463;DCSAL;SALPGR;NÃO
Horas Extras 115% Noturna;464;DCSAL;SALPGR;NÃO
Horas Extras 120% Noturna;465;DCSAL;SALPGR;NÃO
Horas Extras 125% Noturna;466;DCSAL;SALPGR;NÃO
Horas Extras 130% Noturna;467;DCSAL;SALPGR;NÃO
Horas Extras 135% Noturna;468;DCSAL;SALPGR;NÃO
Horas Extras 140% Noturna;469;DCSAL;SALPGR;NÃO
Horas Extras 145% Noturna;470;DCSAL;SALPGR;NÃO
Horas Extras 150% Noturna;471;DCSAL;SALPGR;NÃO
Horas Extras 175% Noturna;476;DCSAL;SALPGR;NÃO
Horas Extras 180% Noturna;477;DCSAL;SALPGR;NÃO
Horas Extras 200% Noturna;481;DCSAL;SALPGR;NÃO
Pensão Jurídica;501;SALPGR;PENSAOPGR;NÃO
Pensão Alimentícia;502;SALPGR;PENSAOPGR;NÃO
Despesas Médicas;521;SALPGR;SAUDEPGR;NÃO
D.S.R. Salário;541;DCSAL;SALPGR;NÃO
D.S.R. Rendimentos Variáveis;542;DCSAL;SALPGR;NÃO
D.S.R. Horas Extras;543;DCSAL;SALPGR;NÃO
D.S.R. Salário Semanal;545;DCSAL;SALPGR;NÃO
D.S.R. Faltas Horas;601;SALPGR;DCSAL;NÃO
D.S.R. Faltas Dias;602;SALPGR;DCSAL;NÃO
Licença Remunerada;655;DCSAL;SALPGR;NÃO
Dias Feriados Acordo Sindicato;705;DCSAL;SALPGR;NÃO
Desconto Adiantamento salarial;901;SALPGR;ADDPGR;NÃO
Adiantamento com Ded. I.R.;902;SALPGR;ADDPGR;NÃO
Adiantamento;916;SALPGR;DCSAL;NÃO
Vale;917;SALPGR;DCSAL;NÃO
Participação nos Lucros - PLR;991;LUCROSACUM;PLRPGR;NÃO
Complemento de Férias;3005;DCFERIAS;FERIASPGR;NÃO
Complemento de Férias;3049;DCFERIAS;FERIASPGR;NÃO
1/3 Complemento de Férias;3051;DCFERIAS;FERIASPGR;NÃO
Complemento de Abono Pecuniário;3071;DCFERIAS;FERIASPGR;NÃO
1/3 Complemento de Abono Pecuniário;3091;DCFERIAS;FERIASPGR;NÃO
Férias 1/12 Pagto em Folha Integral;3871;PROVFER;SALPGR;NÃO
Férias 1/30 Pagto em Folha Proporcional;3881;PROVFER;SALPGR;NÃO
1/3 Férias Pagto em Folha;3891;PROVFER;SALPGR;NÃO
Desconto Adto. 13°;4405;13SALPGR;ADD13SAL;NÃO
Desconto Adto. 13º Contribuinte;4430;13SALPGR;ADD13SAL;NÃO
Ad. 13º Sit.Maternidade Empresa;4451;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit.Matern.Empresa Média HE;4452;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit.Matern.Empresa Média RV;4453;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit.Matern.Empresa Adicionais;4454;INSSRECUP;13SALPGR;NÃO
Ad.13º Sit. Matern. Emp. Prêmios Gratif.;4455;INSSRECUP;13SALPGR;NÃO
AD. 13º Compl. Sit. Maternidade Empresa;4456;INSSRECUP;13SALPGR;NÃO
AD.13º Comp.Sit.Maternidade Empresa HE;4457;INSSRECUP;13SALPGR;NÃO
AD.13º Comp.Sit.Maternidade Empresa RV;4458;INSSRECUP;13SALPGR;NÃO
AD.13º Comp.Sit.Maternidade Empresa Adic;4459;INSSRECUP;13SALPGR;NÃO
Ad. 13º Sit. Acidente de Trabalho;4461;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Ac. Trabalho Média HE;4462;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Ac. Trabalho Média RV;4463;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Ac. Trabalho Adic.;4464;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Auxílio Doença;4471;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Relacionada ao Trabalho;4481;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Rel. Trabalho Média HE;4482;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Rel. Trabalho Média RV;4483;DC13.SAL;13SALPGR;NÃO
Ad. 13º Doença Rel. Trabalho Adic.;4484;DC13.SAL;13SALPGR;NÃO
Ad. 13º Sit. Serviço Militar;4491;DC13.SAL;13SALPGR;NÃO
Ad. 13º Pagamento em Folha Integral;4881;ADD13SAL;13SALPGR;NÃO
Ad. 13º Pagamento em Folha Proporcional;4891;ADD13SAL;13SALPGR;NÃO
Desc. Ad. 13º Sal. Sit. Acid. Trabalho;4911;13SALPGR;ADD13SAL;NÃO
Desc. Ad. 13º Sal. Sit Aux. Doença;4921;13SALPGR;ADD13SAL;NÃO
Desc. Ad. 13º Sal.Doença Rel. Trabalho;4931;13SALPGR;ADD13SAL;NÃO
Desc. Ad. 13º Sal. Serviço Militar;4941;13SALPGR;ADD13SAL;NÃO
Desconto Ad.13º Salário Situação;4951;13SALPGR;ADD13SAL;NÃO
13° Salário;5005;PROVDEC;13SALPGR;NÃO
13º Salário Contribuinte;5030;PROVDEC;13SALPGR;NÃO
13° Salário;5099;PROVDEC;13SALPGR;NÃO
13° Adic. Insalubridade;5101;PROVDEC;13SALPGR;NÃO
13° Adic. Periculosidade;5111;PROVDEC;13SALPGR;NÃO
13° Adic. Noturno;5121;PROVDEC;13SALPGR;NÃO
13° Anuênio;5131;PROVDEC;13SALPGR;NÃO
13° Biênio;5132;PROVDEC;13SALPGR;NÃO
13° Triênio;5133;PROVDEC;13SALPGR;NÃO
13° Quinquênio;5134;PROVDEC;13SALPGR;NÃO
13° Decênio;5135;PROVDEC;13SALPGR;NÃO
13° Adicionais;5199;PROVDEC;13SALPGR;NÃO
13° Média H.E.;5201;PROVDEC;13SALPGR;NÃO
13° Média D.S.R. H.E.;5202;PROVDEC;13SALPGR;NÃO
13° Média R.V.;5203;PROVDEC;13SALPGR;NÃO
13° Média D.S.R. R.V.;5204;PROVDEC;13SALPGR;NÃO
13° Médias;5299;PROVDEC;13SALPGR;NÃO
Desconto 13° Salário;5405;13SALPGR;PROVDEC;NÃO
13º Pensão Alimenticia;5421;13SALPGR;PROVDEC;NÃO
13º Salário Situação Maternidade Empresa;5451;INSSPGR;13SALPGR;NÃO
13º Situação Mat. Emp. Média HE;5452;INSSPGR;13SALPGR;NÃO
13º Situação Mat. Emp. Média RV;5453;INSSPGR;13SALPGR;NÃO
13º Situação Mat. Emp. Média Adicionais;5454;INSSPGR;13SALPGR;NÃO
13ºSal.Situação Mat. Empr. Prêmios Grat.;5455;INSSPGR;13SALPGR;NÃO
13º Comp.Situação Maternidade Empresa;5456;INSSPGR;13SALPGR;NÃO
13º SITUAÇÃO MATERNIDADE EMPRESA HE;5457;INSSPGR;13SALPGR;NÃO
13º Comp.Situação Maternidade Empresa RV;5458;INSSPGR;13SALPGR;NÃO
13º Comp.Sit. Maternidade Empresa Adic.;5459;INSSPGR;13SALPGR;NÃO
13º Situação Acidente de Trabalho;5461;DC13.SAL;13SALPGR;NÃO
13º Sit. Ac. Trabalho Média HE;5462;DC13.SAL;13SALPGR;NÃO
13º Sit. Ac. Trabalho Média RV;5463;DC13.SAL;13SALPGR;NÃO
13º Sit. Ac. Trabalho Média Adicionais;5464;DC13.SAL;13SALPGR;NÃO
13º Situação Auxílio Doença;5471;DC13.SAL;13SALPGR;NÃO
13º Doença Relacionada ao Trabalho;5481;DC13.SAL;13SALPGR;NÃO
13º Doença Rel. Trabalho Méd. HE;5482;DC13.SAL;13SALPGR;NÃO
13º Doença Rel. Trabalho Méd. RV;5483;DC13.SAL;13SALPGR;NÃO
13º Doença Rel. Trabalho Méd. Adic.;5484;DC13.SAL;13SALPGR;NÃO
13º Situação Serviço Militar;5491;DC13.SAL;13SALPGR;NÃO
Complemento 13°;5505;PROVDEC;13SALPGR;NÃO
Complemento 13°;5599;PROVDEC;13SALPGR;NÃO
Complemento 13° Adic. Insalubridade;5601;PROVDEC;13SALPGR;NÃO
Complemento 13° Adic. Periculosidade;5611;PROVDEC;13SALPGR;NÃO
Complemento 13° Adic. Noturno;5621;PROVDEC;13SALPGR;NÃO
Complemento 13° Anuênio;5631;PROVDEC;13SALPGR;NÃO
Complemento 13° Biênio;5632;PROVDEC;13SALPGR;NÃO
Complemento 13° Triênio;5633;PROVDEC;13SALPGR;NÃO
Complemento 13° Quinquênio;5634;PROVDEC;13SALPGR;NÃO
Complemento 13° Decênio;5635;PROVDEC;13SALPGR;NÃO
Complemento 13° Adicionais;5699;PROVDEC;13SALPGR;NÃO
Complemento 13° Média H.E.;5701;PROVDEC;13SALPGR;NÃO
Complemento 13° Média D.S.R. H.E.;5702;PROVDEC;13SALPGR;NÃO
Complemento 13° Média R.V.;5703;PROVDEC;13SALPGR;NÃO
Complemento 13° Média D.S.R. R.V.;5704;PROVDEC;13SALPGR;NÃO
Complemento 13° Médias;5799;PROVDEC;13SALPGR;NÃO
Complemento 13º Sit.Maternidade Empresa;5851;INSSPGR;13SALPGR;NÃO
Compl. 13º Sit.Mat.Empresa Média HE;5852;INSSPGR;13SALPGR;NÃO
Compl. 13º Sit.Mat.Empresa Média RV;5853;INSSPGR;13SALPGR;NÃO
Compl. 13º Sit.Mat.Empresa Adic.;5854;INSSPGR;13SALPGR;NÃO
Complemento 13º Sit.Acidente de Trabalho;5861;DC13.SAL;13SALPGR;NÃO
Compl. 13º Acidente de Trabalho Média HE;5862;DC13.SAL;13SALPGR;NÃO
Compl. 13º Acidente de Trabalho Média RV;5863;DC13.SAL;13SALPGR;NÃO
Compl. 13º Acidente de Trabalho Adic.;5864;PROVDEC;13SALPGR;NÃO
Complemento 13º Auxílio Doença;5871;PROVDEC;13SALPGR;NÃO
Complemento 13º Doença Rel. Trabalho;5881;PROVDEC;13SALPGR;NÃO
Complemento 13º Serviço Militar;5891;PROVDEC;13SALPGR;NÃO
Desc.13º Sal. Sit. Acidente de Trabalho;5901;13SALPGR;PROVDEC;NÃO
Desc. 13º Sal. Sit. Auxílio Doença;5911;13SALPGR;PROVDEC;NÃO
Desc. 13º Sal. Sit. Doença Rel. Trabalho;5921;13SALPGR;PROVDEC;NÃO
Desc. 13º Sal. Sit Serviço Militar;5931;13SALPGR;PROVDEC;NÃO
Desc. Comp. 13º Acidente de Trabalho;5951;13SALPGR;PROVDEC;NÃO
Desc. Comp. 13º Auxílio Doença;5961;13SALPGR;PROVDEC;NÃO
Desc. Comp. 13º Doen.Rel.Trabalho;5971;13SALPGR;PROVDEC;NÃO
Desc. Comp. 13º Serviço Militar;5981;13SALPGR;PROVDEC;NÃO
Saldo Salário Rescisão;6005;DCSAL;SALPGR;NÃO
Saldo de Salário Rescisão;6006;DCSAL;SALPGR;NÃO
Indenização Artigo 479;6031;DCSAL;SALPGR;NÃO
Multa Rescisória;6032;DCSAL;SALPGR;NÃO
Descanso Indenizado;6033;DCSAL;SALPGR;NÃO
Indenização Término de Contrato;6034;SALPGR;DCSAL;NÃO
Rescisão Aviso Prévio Descontado;6051;SALPGR;DCSAL;NÃO
Rescisão Aviso Prévio Indenizado;6076;DCSAL;SALPGR;NÃO
Rescisão Férias Proporcionais;6105;PROVFER;SALPGR;NÃO
Rescisão Férias Proporcionais;6129;PROVFER;SALPGR;NÃO
Rescisão 1/3 Férias Proporcionais;6131;PROVFER;SALPGR;NÃO
Rescisão Férias Adicionais;6149;PROVFER;SALPGR;NÃO
Rescisão Férias Média H.E.;6151;PROVFER;SALPGR;NÃO
Rescisão Férias Média D.S.R. H.E.;6152;PROVFER;SALPGR;NÃO
Rescisão Férias Média R.V.;6153;PROVFER;SALPGR;NÃO
Rescisão Férias Média D.S.R. R.V.;6154;PROVFER;SALPGR;NÃO
Rescisão Férias Médias;6199;PROVFER;SALPGR;NÃO
Rescisão Férias Indenizadas;6205;DCFERIAS;SALPGR;NÃO
Rescisão Férias Indenizadas;6249;DCFERIAS;SALPGR;NÃO
Rescisão 1/3 Férias Indenizadas;6251;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Adicionais;6349;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Média H.E.;6351;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Média DSR H.E.;6352;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Média R.V.;6353;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Média DSR R.V.;6354;DCFERIAS;SALPGR;NÃO
Rescisão Férias Ind. Médias;6399;DCFERIAS;SALPGR;NÃO
Rescisão Férias Vencidas;6405;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas;6449;PROVFER;SALPGR;NÃO
Rescisão 1/3 Férias Vencidas;6451;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Adicionais;6549;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Média H.E.;6551;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Média DSR H.E.;6552;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Média R.V.;6553;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Média DSR R.V.;6554;PROVFER;SALPGR;NÃO
Rescisão Férias Vencidas Médias;6599;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro;6605;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro;6649;PROVFER;SALPGR;NÃO
Rescisão 1/3 Férias em Dobro;6651;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Adicionais;6749;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Média H.E.;6751;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Média DSR H.E.;6752;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Média R.V.;6753;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Média DSR R.V.;6754;PROVFER;SALPGR;NÃO
Rescisão Férias em Dobro Médias;6799;PROVFER;SALPGR;NÃO
Desc. Férias 1/12 Pagamento em Folha;6991;SALPGR;PROVFER;NÃO
Rescisão 13° Salário;7005;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário;7049;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Adicionais;7099;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Méd. H.E.;7101;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Média D.S.R. H.E.;7102;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Méd. R.V.;7103;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Média D.S.R. R.V.;7104;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário Médias;7199;PROVDEC;SALPGR;NÃO
Rescisão 13° Salário 1/12 Indenizado;7205;DC13.SAL;SALPGR;NÃO
Rescisão 13° Salário 1/12 Indenizado;7249;DC13.SAL;SALPGR;NÃO
Rescisão 13° Salário 1/12 Ind. Adic.;7299;DC13.SAL;SALPGR;NÃO
Rescisão 13° Salário 1/12 Ind. Méd. H.E;7301;DC13.SAL;SALPGR;NÃO
Rescisão 13° 1/12 Ind. Média DSR HE;7302;DC13.SAL;SALPGR;NÃO
Rescisão 13° Salário 1/12 Ind. Méd. R.V;7303;DC13.SAL;SALPGR;NÃO
Rescisão 13° 1/12 Ind. Média DSR RV;7304;DC13.SAL;SALPGR;NÃO
Rescisão 13° Salário 1/12 Ind. Médias;7399;DC13.SAL;SALPGR;NÃO
13º Situação Rescisão Matern.Empresa;7451;PROVDEC;SALPGR;NÃO
13º Situação Rescisão Mat. Emp. Med HE;7453;PROVDEC;SALPGR;NÃO
13º Situação Rescisão Mat. Emp. Med RV;7454;PROVDEC;SALPGR;NÃO
13º Situação Rescisão Mat. Emp. Med Adic;7455;PROVDEC;SALPGR;NÃO
13º Situação Resc. Desconto Mat. Empresa;7471;SALPGR;PROVDEC;NÃO
Rescisão Desconto Adiantamento 13° Sal.;7505;SALPGR;PROVDEC;NÃO
Rescisão Desconto 13° Salario;7555;SALPGR;PROVDEC;NÃO
Diferença 13º Salário Pago;7605;PROVDEC;SALPGR;NÃO
Desc. Ad. 13º Sal. Pago em Folha;7991;SALPGR;PROVDEC;NÃO
Complemento situação maternidade empresa;8002;DCSAL;SALPGR;NÃO
Salário Maternidade;8005;DCSAL;SALPGR;NÃO
Situação Maternidade Empresa;8006;INSSPGR;SALPGR;NÃO
Situação Maternidade Pro-Labore;8007;DCSAL;SALPGR;NÃO
Salário Maternidade;8049;DCSAL;SALPGR;NÃO
Complemento maternidade emp. adicional;8051;DCSAL;SALPGR;NÃO
Situação Maternidade Adicionais;8099;DCSAL;SALPGR;NÃO
Situação Maternidade Média H.E.;8101;DCSAL;SALPGR;NÃO
Situação Maternidade Média D.S.R. H.E.;8102;DCSAL;SALPGR;NÃO
Situação Maternidade Média R.V.;8103;DCSAL;SALPGR;NÃO
Situação Maternidade Média D.S.R. R.V.;8104;DCSAL;SALPGR;NÃO
Situação Maternidade Média HE Empresa;8105;INSSPGR;SALPGR;NÃO
Situação Maternidade Média Dsr HE;8106;INSSPGR;SALPGR;NÃO
Situação Maternidade Média Rv Empresa;8107;INSSPGR;SALPGR;NÃO
Situação Maternidade Média Dsr RV;8108;INSSPGR;SALPGR;NÃO
Comp. Situação Maternidade Médias HE;8109;DCSAL;SALPGR;NÃO
Situação Maternidade Adicionais Empresa;8110;INSSPGR;SALPGR;NÃO
Comp. Situação Maternidade Médias RV;8111;DCSAL;SALPGR;NÃO
Comp. Sit. Maternidade Médias DSR HE;8112;DCSAL;SALPGR;NÃO
Comp. Sit. Maternidade Médias DSR RV;8113;DCSAL;SALPGR;NÃO
Situação Maternidade Médias;8199;DCSAL;SALPGR;NÃO
Sit. Aux. Doença maior que a carência;8205;DCSAL;SALPGR;NÃO
Aux.Doe. maior que a carência Prêm.Grat.;8206;DCSAL;SALPGR;NÃO
Aux. Doença maior que a carência;8249;DCSAL;SALPGR;NÃO
Aux.Doe. maior que a carência Adicional;8299;DCSAL;SALPGR;NÃO
Aux.Doe.Med. H.E. maior que a carência;8301;DCSAL;SALPGR;NÃO
Aux.Doe.Med. DSR HE maior que carência;8302;DCSAL;SALPGR;NÃO
Aux.Doe.Med. R.V. maior que a carência;8303;DCSAL;SALPGR;NÃO
Aux.Doe.Med. DSR RV maior que carência;8304;DCSAL;SALPGR;NÃO
Atestado doença com incidência;8351;DCSAL;SALPGR;NÃO
Atestado doença Adicional com incidência;8361;DCSAL;SALPGR;NÃO
Aux.Doe. Média H.E. menor que a carência;8371;DCSAL;SALPGR;NÃO
Aux.Doe.Med. DSR HE menor que a carência;8372;DCSAL;SALPGR;NÃO
Aux.Doe. Média R.V. menor que a carência;8373;DCSAL;SALPGR;NÃO
Aux.Doe.Med. DSR RV menor que a carência;8374;DCSAL;SALPGR;NÃO
Aux.Doença Medias;8379;DCSAL;SALPGR;NÃO
Aux. Doença Médias maior que a carência;8399;DCSAL;SALPGR;NÃO
Acidente Trabalho maior que a carência;8401;DCSAL;SALPGR;NÃO
Acidente Trabalho maior que a carência;8405;DCSAL;SALPGR;NÃO
Acidente Trabalho maior que a carência;8449;DCSAL;SALPGR;NÃO
Ac.Trab. maior que a carência Adicionais;8499;DCSAL;SALPGR;NÃO
